Order ID,Order Date,Delivery Date,Store ID,Store Type,Region,City,State,Postal Code,Customer ID,Customer Name,Loyalty Member,Transaction Channel,Payment Method,Product ID,Category,Sub-Category,Product Name,Quantity,Unit Price,Sales,Discount,Profit,Supplier
OR-100522,2023-11-18,2023-11-22,ST-998,Supercenter,West,San Antonio,State San,52875,CU-35378,Customer 1716,Yes,Online,Credit Card,PR-462205,Household,Paper Products,Paper Products Item 184,6,102.81,616.86,0.0,107.08,Local Farm
OR-100523,2023-05-08,2023-05-12,ST-719,Supercenter,West,San Antonio,State San,28891,CU-20686,Customer 586,No,In-Store,Mobile Wallet,PR-726020,Groceries,Fresh Produce,Fresh Produce Item 8,8,74.9,599.2,0.0,136.23,Local Farm
OR-100524,2023-11-26,2023-11-28,ST-364,Convenience,South,San Antonio,State San,12693,CU-97695,Customer 1043,No,Online,Cash,PR-653098,Pharmacy,Vitamins,Vitamins Item 93,8,63.66,509.28,0.0,13.28,Supplier B
OR-100525,2024-07-15,2024-07-18,ST-966,Convenience,South,Philadelphia,State Philadelphia,83601,CU-83596,Customer 680,No,In-Store,Cash,PR-792008,Pharmacy,Vitamins,Vitamins Item 20,8,28.81,230.48,0.1,44.29,Supplier A
OR-100526,2024-10-23,2024-10-28,ST-781,Neighborhood,South,Phoenix,State Phoenix,71762,CU-71009,Customer 1690,No,Online,Debit Card,PR-834459,Pharmacy,OTC Medicines,OTC Medicines Item 300,3,50.99,152.97,0.0,20.95,Supplier A
OR-100527,2024-04-17,2024-04-22,ST-438,Supercenter,Central,San Diego,State San,24179,CU-38084,Customer 1360,No,In-Store,Cash,PR-517165,Personal Care,Hair Care,Hair Care Item 487,8,31.31,250.48,0.0,8.75,Supplier B
OR-100528,2023-12-07,2023-12-07,ST-745,Neighborhood,West,San Antonio,State San,30897,CU-92027,Customer 584,No,In-Store,Credit Card,PR-195028,Personal Care,Toiletries,Toiletries Item 370,7,2.36,16.52,0.15,0.43,Local Farm
OR-100529,2023-08-23,2023-08-23,ST-123,Neighborhood,Central,Houston,State Houston,10591,CU-31976,Customer 1424,No,In-Store,Mobile Wallet,PR-233332,Electronics,Small Appliances,Small Appliances Item 403,5,70.84,354.2,0.0,88.53,Supplier A
OR-100530,2023-11-04,2023-11-10,ST-653,Supercenter,East,San Diego,State San,12274,CU-22938,Customer 1819,Yes,Online,Cash,PR-250033,Personal Care,Toiletries,Toiletries Item 221,9,111.66,1004.94,0.0,109.81,Supplier C
OR-100531,2024-08-26,2024-08-30,ST-379,Supercenter,North,Houston,State Houston,18562,CU-39714,Customer 1619,No,Online,Debit Card,PR-455439,Electronics,Small Appliances,Small Appliances Item 172,9,70.82,637.38,0.2,100.12,Supplier C
OR-100532,2023-06-19,2023-06-25,ST-629,Supercenter,North,Philadelphia,State Philadelphia,42442,CU-89830,Customer 492,No,In-Store,Debit Card,PR-449379,Pharmacy,OTC Medicines,OTC Medicines Item 438,7,124.96,874.72,0.1,92.5,Supplier C
OR-100533,2023-01-08,2023-01-10,ST-707,Supercenter,South,Philadelphia,State Philadelphia,10634,CU-32553,Customer 1647,Yes,Online,Mobile Wallet,PR-899203,Electronics,Gadgets,Gadgets Item 252,9,22.9,206.1,0.0,16.15,Distributor X
OR-100534,2023-01-11,2023-01-15,ST-486,Supercenter,East,San Antonio,State San,38371,CU-68595,Customer 640,No,In-Store,Cash,PR-314772,Pharmacy,First Aid,First Aid Item 438,8,40.3,322.4,0.0,37.59,Supplier A
OR-100535,2023-03-23,2023-03-29,ST-539,Express,East,New York,State New,50761,CU-52039,Customer 1551,Yes,Online,Cash,PR-579319,Groceries,Fresh Produce,Fresh Produce Item 80,8,95.61,764.88,0.05,167.96,Distributor X
OR-100536,2024-04-22,2024-04-26,ST-410,Convenience,Central,Los Angeles,State Los,40099,CU-35568,Customer 300,No,Online,Mobile Wallet,PR-533855,Groceries,Beverages,Beverages Item 245,7,46.67,326.69,0.05,75.02,Supplier B
OR-100537,2023-03-18,2023-03-21,ST-968,Express,West,Philadelphia,State Philadelphia,90249,CU-99572,Customer 489,Yes,In-Store,Cash,PR-102419,Pharmacy,Vitamins,Vitamins Item 301,9,63.22,568.98,0.0,16.04,Distributor X
OR-100538,2023-12-10,2023-12-14,ST-946,Convenience,Central,San Diego,State San,13017,CU-93038,Customer 950,No,Online,Debit Card,PR-871706,Electronics,Small Appliances,Small Appliances Item 68,1,25.94,25.94,0.0,3.05,Supplier A
OR-100539,2024-07-16,2024-07-17,ST-480,Supercenter,West,Los Angeles,State Los,88946,CU-81736,Customer 1301,Yes,In-Store,Cash,PR-234670,Pharmacy,OTC Medicines,OTC Medicines Item 341,8,128.65,1029.2,0.0,55.74,Local Farm
OR-100540,2023-01-08,2023-01-08,ST-754,Express,North,Chicago,State Chicago,18484,CU-16050,Customer 945,Yes,In-Store,Debit Card,PR-422089,Household,Paper Products,Paper Products Item 496,4,59.06,236.24,0.05,54.49,Local Farm
OR-100541,2024-04-30,2024-05-05,ST-151,Convenience,West,San Antonio,State San,48108,CU-66974,Customer 942,No,In-Store,Debit Card,PR-628111,Groceries,Bakery,Bakery Item 197,8,99.04,792.32,0.0,109.45,Supplier C
OR-100542,2024-06-10,2024-06-11,ST-418,Supercenter,West,New York,State New,91015,CU-85720,Customer 181,No,In-Store,Debit Card,PR-844298,Household,Plasticware,Plasticware Item 464,4,115.92,463.68,0.1,24.71,Supplier B
OR-100543,2024-07-06,2024-07-11,ST-809,Supercenter,West,Houston,State Houston,79000,CU-33284,Customer 1874,No,In-Store,Credit Card,PR-951481,Groceries,Bakery,Bakery Item 336,4,30.2,120.8,0.0,30.18,Supplier A
OR-100544,2024-09-08,2024-09-12,ST-770,Supercenter,North,Chicago,State Chicago,61364,CU-85706,Customer 813,No,In-Store,Cash,PR-588968,Groceries,Dairy,Dairy Item 105,3,127.18,381.54,0.0,42.99,Supplier C
OR-100545,2023-09-23,2023-09-26,ST-429,Supercenter,Central,San Antonio,State San,98662,CU-84387,Customer 1641,No,Click & Collect,Cash,PR-962132,Household,Cookware,Cookware Item 30,9,61.5,553.5,0.05,40.74,Supplier C
OR-100546,2023-01-29,2023-02-04,ST-870,Supercenter,Central,Houston,State Houston,92015,CU-75169,Customer 564,Yes,In-Store,Mobile Wallet,PR-109304,Electronics,Small Appliances,Small Appliances Item 27,5,15.78,78.9,0.1,10.93,Supplier C
OR-100547,2023-05-08,2023-05-12,ST-754,Convenience,Central,Chicago,State Chicago,56359,CU-59262,Customer 90,No,In-Store,Cash,PR-795519,Pharmacy,OTC Medicines,OTC Medicines Item 166,3,121.44,364.32,0.1,41.02,Supplier A
OR-100548,2024-07-25,2024-07-26,ST-177,Supercenter,South,New York,State New,69254,CU-41969,Customer 162,No,In-Store,Cash,PR-955817,Pharmacy,First Aid,First Aid Item 1,5,29.94,149.7,0.0,10.84,Supplier C
OR-100549,2024-06-05,2024-06-07,ST-566,Convenience,South,San Antonio,State San,27718,CU-50985,Customer 1290,Yes,In-Store,Debit Card,PR-449762,Electronics,Gadgets,Gadgets Item 264,6,26.17,157.02,0.05,3.86,Supplier B
OR-100550,2023-01-20,2023-01-24,ST-986,Supercenter,West,Los Angeles,State Los,77936,CU-92020,Customer 551,No,In-Store,Mobile Wallet,PR-384329,Personal Care,Toiletries,Toiletries Item 87,1,50.87,50.87,0.0,4.71,Supplier B
OR-100551,2024-03-30,2024-04-02,ST-877,Neighborhood,North,Philadelphia,State Philadelphia,56008,CU-25957,Customer 1024,No,In-Store,Mobile Wallet,PR-883573,Groceries,Dairy,Dairy Item 67,8,70.94,567.52,0.0,132.47,Supplier C
OR-100552,2023-12-30,2024-01-02,ST-644,Supercenter,North,Houston,State Houston,89012,CU-26427,Customer 509,No,In-Store,Cash,PR-842691,Personal Care,Hair Care,Hair Care Item 101,2,99.79,199.58,0.0,44.81,Supplier B
OR-100553,2024-10-25,2024-10-26,ST-940,Neighborhood,Central,Los Angeles,State Los,63767,CU-88413,Customer 1820,No,In-Store,Debit Card,PR-862580,Electronics,Gadgets,Gadgets Item 121,8,121.06,968.48,0.0,237.09,Supplier B
OR-100554,2023-11-21,2023-11-23,ST-601,Supercenter,South,Houston,State Houston,55530,CU-65248,Customer 334,Yes,In-Store,Credit Card,PR-212035,Groceries,Bakery,Bakery Item 420,9,15.6,140.4,0.05,8.7,Supplier A
OR-100555,2023-06-08,2023-06-08,ST-688,Convenience,Central,New York,State New,83616,CU-60772,Customer 558,No,In-Store,Debit Card,PR-368774,Pharmacy,Vitamins,Vitamins Item 348,4,25.08,100.32,0.1,18.25,Local Farm
OR-100556,2023-08-20,2023-08-25,ST-914,Neighborhood,East,Phoenix,State Phoenix,53625,CU-76951,Customer 791,Yes,In-Store,Cash,PR-579198,Household,Cleaning Supplies,Cleaning Supplies Item 73,4,48.27,193.08,0.0,23.22,Supplier B
OR-100557,2023-06-29,2023-07-02,ST-192,Supercenter,West,Houston,State Houston,30229,CU-58348,Customer 723,No,Online,Credit Card,PR-874758,Household,Plasticware,Plasticware Item 256,8,20.98,167.84,0.0,8.24,Local Farm
OR-100558,2023-07-18,2023-07-24,ST-106,Supercenter,South,San Antonio,State San,59116,CU-30719,Customer 1987,No,In-Store,Debit Card,PR-920047,Household,Plasticware,Plasticware Item 208,1,44.5,44.5,0.0,8.66,Distributor X
OR-100559,2023-01-27,2023-02-01,ST-472,Neighborhood,West,New York,State New,41912,CU-11949,Customer 245,No,In-Store,Credit Card,PR-613676,Personal Care,Hair Care,Hair Care Item 184,2,141.56,283.12,0.0,38.42,Distributor X
OR-100560,2023-09-11,2023-09-11,ST-756,Supercenter,Central,Houston,State Houston,81725,CU-17432,Customer 88,No,In-Store,Debit Card,PR-261298,Household,Cleaning Supplies,Cleaning Supplies Item 19,5,9.66,48.3,0.0,6.48,Supplier A
OR-100561,2024-05-22,2024-05-27,ST-954,Convenience,West,San Antonio,State San,21596,CU-20129,Customer 1955,Yes,In-Store,Credit Card,PR-637262,Household,Plasticware,Plasticware Item 46,5,62.99,314.95,0.0,53.32,Supplier C
OR-100562,2024-10-14,2024-10-19,ST-946,Supercenter,West,Los Angeles,State Los,51335,CU-44831,Customer 556,No,In-Store,Debit Card,PR-650104,Household,Cookware,Cookware Item 95,1,140.02,140.02,0.15,27.4,Local Farm
OR-100563,2024-06-04,2024-06-10,ST-687,Neighborhood,West,Phoenix,State Phoenix,28170,CU-18120,Customer 898,No,In-Store,Credit Card,PR-384243,Electronics,Gadgets,Gadgets Item 372,9,8.26,74.34,0.15,8.93,Supplier C
OR-100564,2023-10-09,2023-10-10,ST-739,Supercenter,Central,San Antonio,State San,61928,CU-22391,Customer 766,No,Online,Mobile Wallet,PR-444543,Electronics,Batteries,Batteries Item 486,2,29.76,59.52,0.0,12.21,Supplier C
OR-100565,2023-09-29,2023-09-29,ST-890,Convenience,West,Houston,State Houston,50076,CU-54859,Customer 491,Yes,In-Store,Credit Card,PR-330502,Personal Care,Toiletries,Toiletries Item 25,6,108.36,650.16,0.0,101.59,Supplier B
OR-100566,2023-08-24,2023-08-30,ST-139,Neighborhood,Central,Chicago,State Chicago,23280,CU-72636,Customer 1463,No,In-Store,Mobile Wallet,PR-995318,Pharmacy,OTC Medicines,OTC Medicines Item 34,4,58.81,235.24,0.1,49.48,Distributor X
OR-100567,2024-05-16,2024-05-19,ST-212,Supercenter,East,San Diego,State San,95669,CU-74648,Customer 1783,No,In-Store,Cash,PR-843766,Pharmacy,Vitamins,Vitamins Item 490,9,98.36,885.24,0.2,140.43,Supplier A
OR-100568,2024-09-03,2024-09-06,ST-300,Express,East,San Diego,State San,93529,CU-67560,Customer 376,No,Online,Mobile Wallet,PR-476606,Groceries,Fresh Produce,Fresh Produce Item 492,6,103.26,619.56,0.0,49.78,Supplier C
OR-100569,2024-07-29,2024-08-02,ST-952,Neighborhood,West,San Diego,State San,71836,CU-16764,Customer 785,No,In-Store,Mobile Wallet,PR-355033,Groceries,Beverages,Beverages Item 385,4,71.75,287.0,0.0,39.73,Local Farm
OR-100570,2024-05-10,2024-05-10,ST-713,Neighborhood,East,New York,State New,32072,CU-67207,Customer 718,Yes,In-Store,Cash,PR-230016,Household,Paper Products,Paper Products Item 17,9,86.95,782.55,0.0,119.96,Supplier C
OR-100571,2023-02-20,2023-02-22,ST-830,Neighborhood,Central,Houston,State Houston,65031,CU-10056,Customer 738,No,In-Store,Mobile Wallet,PR-469841,Personal Care,Oral Care,Oral Care Item 138,3,17.37,52.11,0.0,2.26,Supplier C
OR-100572,2023-09-03,2023-09-03,ST-363,Express,North,Los Angeles,State Los,59323,CU-91556,Customer 790,No,In-Store,Credit Card,PR-452053,Pharmacy,Vitamins,Vitamins Item 464,6,110.49,662.94,0.0,35.41,Local Farm
OR-100573,2024-07-19,2024-07-24,ST-969,Neighborhood,East,Philadelphia,State Philadelphia,14694,CU-48294,Customer 1598,No,In-Store,Debit Card,PR-682438,Household,Plasticware,Plasticware Item 183,8,86.54,692.32,0.2,120.52,Local Farm
OR-100574,2024-09-11,2024-09-17,ST-526,Neighborhood,West,San Antonio,State San,20529,CU-26191,Customer 664,No,In-Store,Debit Card,PR-536374,Household,Paper Products,Paper Products Item 141,9,128.72,1158.48,0.0,160.27,Supplier A
OR-100575,2023-10-30,2023-10-31,ST-854,Neighborhood,South,San Diego,State San,85899,CU-38180,Customer 1688,No,In-Store,Credit Card,PR-203700,Pharmacy,Vitamins,Vitamins Item 227,5,93.94,469.7,0.1,86.48,Distributor X
OR-100576,2023-05-30,2023-06-02,ST-909,Neighborhood,North,San Diego,State San,24849,CU-69030,Customer 1862,No,Click & Collect,Cash,PR-606220,Personal Care,Hair Care,Hair Care Item 407,2,86.67,173.34,0.1,14.76,Supplier A
OR-100577,2024-09-15,2024-09-15,ST-719,Neighborhood,North,Phoenix,State Phoenix,73197,CU-17470,Customer 1794,No,In-Store,Cash,PR-619846,Pharmacy,First Aid,First Aid Item 431,8,90.62,724.96,0.2,136.69,Distributor X
OR-100578,2023-01-17,2023-01-20,ST-511,Convenience,South,Los Angeles,State Los,60870,CU-38768,Customer 1707,No,In-Store,Cash,PR-465871,Household,Plasticware,Plasticware Item 55,5,103.6,518.0,0.05,38.4,Local Farm
OR-100579,2023-06-01,2023-06-06,ST-869,Supercenter,West,Los Angeles,State Los,96569,CU-99062,Customer 1905,Yes,In-Store,Mobile Wallet,PR-781132,Household,Paper Products,Paper Products Item 21,3,63.27,189.81,0.0,6.55,Supplier B
OR-100580,2023-07-20,2023-07-25,ST-966,Neighborhood,North,Chicago,State Chicago,70522,CU-97081,Customer 1489,No,In-Store,Debit Card,PR-212099,Electronics,Batteries,Batteries Item 162,2,140.03,280.06,0.0,19.71,Local Farm
OR-100581,2023-11-03,2023-11-07,ST-308,Neighborhood,East,New York,State New,40013,CU-43719,Customer 1058,Yes,Online,Cash,PR-440492,Electronics,Gadgets,Gadgets Item 421,3,64.68,194.04,0.0,8.97,Supplier A
OR-100582,2024-06-05,2024-06-08,ST-535,Supercenter,West,New York,State New,61550,CU-93778,Customer 686,No,In-Store,Mobile Wallet,PR-840749,Electronics,Gadgets,Gadgets Item 180,9,125.66,1130.94,0.0,214.79,Supplier C
OR-100583,2024-04-04,2024-04-09,ST-387,Convenience,East,Philadelphia,State Philadelphia,22823,CU-93402,Customer 1648,No,In-Store,Credit Card,PR-745970,Personal Care,Skincare,Skincare Item 86,5,83.45,417.25,0.1,7.84,Distributor X
OR-100584,2024-10-20,2024-10-22,ST-358,Supercenter,South,San Antonio,State San,47570,CU-79715,Customer 156,Yes,In-Store,Debit Card,PR-761975,Electronics,Batteries,Batteries Item 205,6,67.53,405.18,0.0,19.32,Local Farm
OR-100585,2023-12-08,2023-12-10,ST-736,Supercenter,East,Phoenix,State Phoenix,41704,CU-47997,Customer 549,No,Online,Mobile Wallet,PR-521607,Pharmacy,Vitamins,Vitamins Item 13,6,21.3,127.8,0.0,15.72,Local Farm
OR-100586,2024-08-17,2024-08-19,ST-358,Supercenter,East,San Diego,State San,64160,CU-74265,Customer 1487,Yes,In-Store,Mobile Wallet,PR-331946,Household,Plasticware,Plasticware Item 38,9,39.75,357.75,0.0,70.7,Supplier B
OR-100587,2023-01-16,2023-01-22,ST-372,Express,Central,Philadelphia,State Philadelphia,83551,CU-28030,Customer 1956,No,Online,Credit Card,PR-946307,Pharmacy,First Aid,First Aid Item 383,5,121.67,608.35,0.2,81.9,Supplier A
OR-100588,2023-02-13,2023-02-14,ST-376,Supercenter,Central,Philadelphia,State Philadelphia,40788,CU-60639,Customer 847,No,In-Store,Credit Card,PR-149477,Pharmacy,Vitamins,Vitamins Item 4,4,119.38,477.52,0.2,48.7,Local Farm
OR-100589,2024-08-06,2024-08-10,ST-739,Supercenter,North,San Diego,State San,57498,CU-29748,Customer 294,No,Online,Credit Card,PR-836152,Pharmacy,First Aid,First Aid Item 475,2,109.9,219.8,0.0,22.16,Distributor X
OR-100590,2024-10-19,2024-10-21,ST-217,Supercenter,South,Philadelphia,State Philadelphia,96130,CU-51552,Customer 976,No,In-Store,Credit Card,PR-376109,Personal Care,Toiletries,Toiletries Item 27,6,75.08,450.48,0.2,45.53,Supplier A
OR-100591,2023-08-09,2023-08-12,ST-667,Neighborhood,East,New York,State New,52120,CU-20204,Customer 443,No,In-Store,Mobile Wallet,PR-923513,Groceries,Frozen,Frozen Item 389,5,88.74,443.7,0.05,41.77,Local Farm
OR-100592,2023-08-06,2023-08-12,ST-798,Supercenter,South,Los Angeles,State Los,10944,CU-64933,Customer 776,No,In-Store,Debit Card,PR-371258,Personal Care,Hair Care,Hair Care Item 459,7,30.65,214.55,0.0,43.18,Distributor X
OR-100593,2023-03-07,2023-03-12,ST-267,Neighborhood,South,Phoenix,State Phoenix,85726,CU-77438,Customer 104,No,In-Store,Debit Card,PR-796203,Personal Care,Skincare,Skincare Item 367,5,118.81,594.05,0.0,118.56,Supplier C
OR-100594,2024-10-10,2024-10-16,ST-811,Neighborhood,South,Phoenix,State Phoenix,64921,CU-64607,Customer 67,No,In-Store,Cash,PR-408166,Groceries,Beverages,Beverages Item 155,7,56.7,396.9,0.0,87.96,Distributor X
OR-100595,2024-05-30,2024-06-05,ST-180,Supercenter,North,Philadelphia,State Philadelphia,27533,CU-96153,Customer 1457,Yes,In-Store,Mobile Wallet,PR-671284,Groceries,Beverages,Beverages Item 438,3,103.2,309.6,0.0,46.06,Local Farm
OR-100596,2024-10-08,2024-10-12,ST-938,Supercenter,North,San Antonio,State San,24817,CU-41876,Customer 1336,Yes,Online,Credit Card,PR-368556,Groceries,Fresh Produce,Fresh Produce Item 490,3,115.63,346.89,0.0,73.49,Local Farm
OR-100597,2024-01-24,2024-01-25,ST-467,Supercenter,South,Houston,State Houston,76299,CU-12389,Customer 1829,Yes,In-Store,Credit Card,PR-547166,Household,Plasticware,Plasticware Item 418,7,53.46,374.22,0.05,88.84,Local Farm
OR-100598,2024-06-09,2024-06-12,ST-190,Convenience,North,Phoenix,State Phoenix,82969,CU-72583,Customer 1980,No,In-Store,Debit Card,PR-864948,Household,Paper Products,Paper Products Item 181,9,67.56,608.04,0.05,31.0,Supplier B
OR-100599,2023-05-12,2023-05-12,ST-336,Express,North,Philadelphia,State Philadelphia,77143,CU-27942,Customer 16,No,Online,Mobile Wallet,PR-955542,Groceries,Bakery,Bakery Item 324,9,107.48,967.32,0.05,78.07,Distributor X
OR-100600,2024-01-13,2024-01-19,ST-262,Supercenter,West,San Antonio,State San,79072,CU-71877,Customer 1367,No,In-Store,Cash,PR-601775,Groceries,Dairy,Dairy Item 301,3,44.04,132.12,0.05,25.73,Local Farm
OR-100601,2024-03-28,2024-03-28,ST-779,Supercenter,West,Los Angeles,State Los,24901,CU-17140,Customer 1787,No,In-Store,Cash,PR-299888,Electronics,Gadgets,Gadgets Item 254,7,31.86,223.02,0.0,28.3,Supplier B
OR-100602,2023-03-18,2023-03-24,ST-621,Supercenter,West,Los Angeles,State Los,82144,CU-33580,Customer 1328,No,In-Store,Cash,PR-412809,Electronics,Gadgets,Gadgets Item 171,2,104.88,209.76,0.05,12.65,Supplier C
OR-100603,2024-07-22,2024-07-23,ST-174,Supercenter,North,Chicago,State Chicago,96602,CU-86719,Customer 1313,No,In-Store,Debit Card,PR-309485,Pharmacy,Vitamins,Vitamins Item 357,7,144.61,1012.27,0.0,73.18,Supplier C
OR-100604,2023-07-07,2023-07-13,ST-907,Supercenter,East,New York,State New,35538,CU-67874,Customer 1071,No,In-Store,Credit Card,PR-990001,Electronics,Small Appliances,Small Appliances Item 210,5,22.27,111.35,0.0,14.27,Supplier B
OR-100605,2023-05-13,2023-05-14,ST-367,Supercenter,West,Philadelphia,State Philadelphia,32106,CU-12708,Customer 1886,No,Online,Cash,PR-932985,Electronics,Small Appliances,Small Appliances Item 106,5,132.32,661.6,0.1,91.64,Local Farm
OR-100606,2023-02-24,2023-02-25,ST-245,Supercenter,East,Philadelphia,State Philadelphia,60185,CU-92862,Customer 1233,Yes,In-Store,Credit Card,PR-855897,Household,Cleaning Supplies,Cleaning Supplies Item 11,1,8.17,8.17,0.0,0.8,Supplier C
OR-100607,2024-08-22,2024-08-24,ST-677,Supercenter,Central,San Diego,State San,39520,CU-59831,Customer 1286,No,In-Store,Credit Card,PR-144397,Household,Paper Products,Paper Products Item 60,6,68.52,411.12,0.1,63.55,Supplier B
OR-100608,2024-09-21,2024-09-22,ST-662,Express,North,San Antonio,State San,72457,CU-41283,Customer 634,No,Online,Mobile Wallet,PR-162508,Groceries,Bakery,Bakery Item 295,7,98.23,687.61,0.1,128.21,Supplier C
OR-100609,2024-02-26,2024-02-27,ST-214,Supercenter,East,Phoenix,State Phoenix,65268,CU-48575,Customer 1145,No,In-Store,Debit Card,PR-705599,Pharmacy,Vitamins,Vitamins Item 62,9,138.25,1244.25,0.0,104.66,Supplier A
OR-100610,2023-11-18,2023-11-24,ST-358,Supercenter,South,Los Angeles,State Los,21218,CU-73397,Customer 1741,Yes,In-Store,Mobile Wallet,PR-921154,Personal Care,Hair Care,Hair Care Item 101,2,99.89,199.78,0.0,13.14,Supplier B
OR-100611,2023-02-04,2023-02-04,ST-175,Express,South,San Antonio,State San,49028,CU-40383,Customer 1546,No,In-Store,Credit Card,PR-475982,Household,Cleaning Supplies,Cleaning Supplies Item 375,7,48.03,336.21,0.0,46.26,Supplier B
OR-100612,2024-05-21,2024-05-23,ST-143,Supercenter,East,Philadelphia,State Philadelphia,75516,CU-42210,Customer 1875,Yes,In-Store,Debit Card,PR-154604,Groceries,Dairy,Dairy Item 36,9,90.24,812.16,0.0,26.76,Distributor X
OR-100613,2023-03-12,2023-03-15,ST-375,Neighborhood,South,Chicago,State Chicago,71401,CU-68235,Customer 13,Yes,Click & Collect,Credit Card,PR-410495,Electronics,Small Appliances,Small Appliances Item 283,2,49.19,98.38,0.05,3.47,Supplier A
OR-100614,2023-11-02,2023-11-07,ST-918,Express,North,San Diego,State San,26878,CU-35322,Customer 769,No,In-Store,Mobile Wallet,PR-791572,Personal Care,Toiletries,Toiletries Item 431,5,31.43,157.15,0.15,18.74,Supplier C
OR-100615,2023-01-10,2023-01-14,ST-797,Neighborhood,Central,Phoenix,State Phoenix,31509,CU-15004,Customer 178,Yes,Online,Mobile Wallet,PR-137170,Electronics,Batteries,Batteries Item 238,2,33.08,66.16,0.05,7.35,Supplier A
OR-100616,2024-09-13,2024-09-17,ST-967,Convenience,West,Chicago,State Chicago,68942,CU-60955,Customer 1099,No,In-Store,Credit Card,PR-523359,Pharmacy,Vitamins,Vitamins Item 50,8,83.43,667.44,0.0,33.44,Supplier C
OR-100617,2024-01-22,2024-01-27,ST-344,Supercenter,Central,Los Angeles,State Los,47695,CU-93279,Customer 1727,No,In-Store,Debit Card,PR-577032,Pharmacy,OTC Medicines,OTC Medicines Item 255,8,64.07,512.56,0.0,71.28,Supplier B
OR-100618,2023-07-23,2023-07-25,ST-158,Express,South,Houston,State Houston,28830,CU-76422,Customer 393,No,In-Store,Debit Card,PR-876522,Electronics,Gadgets,Gadgets Item 196,1,10.95,10.95,0.05,2.46,Distributor X
OR-100619,2023-10-17,2023-10-17,ST-395,Supercenter,West,Phoenix,State Phoenix,69258,CU-60278,Customer 636,No,In-Store,Cash,PR-142192,Household,Cleaning Supplies,Cleaning Supplies Item 107,5,63.5,317.5,0.1,36.27,Supplier B
OR-100620,2024-02-24,2024-02-28,ST-400,Express,North,San Diego,State San,95548,CU-62703,Customer 1858,No,In-Store,Mobile Wallet,PR-593085,Household,Plasticware,Plasticware Item 105,8,75.57,604.56,0.0,47.25,Supplier A
OR-100621,2023-07-20,2023-07-25,ST-301,Supercenter,West,San Antonio,State San,13212,CU-25330,Customer 1015,Yes,Online,Debit Card,PR-576657,Personal Care,Hair Care,Hair Care Item 321,8,20.06,160.48,0.05,22.68,Supplier B
OR-100622,2023-03-12,2023-03-15,ST-707,Convenience,East,Philadelphia,State Philadelphia,75807,CU-46820,Customer 894,No,Online,Mobile Wallet,PR-124220,Household,Cleaning Supplies,Cleaning Supplies Item 215,9,69.33,623.97,0.0,63.14,Supplier B
OR-100623,2023-04-13,2023-04-16,ST-368,Neighborhood,East,San Antonio,State San,85752,CU-28240,Customer 400,No,In-Store,Credit Card,PR-705262,Household,Plasticware,Plasticware Item 79,1,90.74,90.74,0.15,2.43,Supplier B
OR-100624,2024-10-01,2024-10-07,ST-765,Supercenter,Central,San Antonio,State San,10045,CU-54788,Customer 652,No,In-Store,Credit Card,PR-778797,Groceries,Frozen,Frozen Item 81,3,1.51,4.53,0.0,1.03,Distributor X
OR-100625,2023-09-01,2023-09-02,ST-432,Supercenter,South,Chicago,State Chicago,90731,CU-47260,Customer 296,No,In-Store,Debit Card,PR-228824,Groceries,Fresh Produce,Fresh Produce Item 489,7,1.25,8.75,0.0,0.57,Supplier B
OR-100626,2023-12-10,2023-12-11,ST-907,Supercenter,West,Phoenix,State Phoenix,82153,CU-98754,Customer 592,Yes,Click & Collect,Mobile Wallet,PR-972510,Electronics,Small Appliances,Small Appliances Item 459,1,123.43,123.43,0.0,29.85,Distributor X
OR-100627,2023-03-21,2023-03-24,ST-108,Supercenter,North,Phoenix,State Phoenix,55177,CU-74818,Customer 1612,No,In-Store,Credit Card,PR-210623,Personal Care,Hair Care,Hair Care Item 466,9,33.43,300.87,0.1,51.67,Supplier A
OR-100628,2024-04-08,2024-04-13,ST-633,Convenience,Central,Los Angeles,State Los,50239,CU-37387,Customer 15,No,In-Store,Cash,PR-241268,Electronics,Gadgets,Gadgets Item 273,8,91.16,729.28,0.0,172.0,Distributor X
OR-100629,2023-01-01,2023-01-01,ST-250,Convenience,North,San Antonio,State San,17897,CU-65038,Customer 1495,No,In-Store,Mobile Wallet,PR-639180,Electronics,Small Appliances,Small Appliances Item 111,4,123.57,494.28,0.0,35.74,Distributor X
OR-100630,2023-12-01,2023-12-05,ST-210,Supercenter,South,Chicago,State Chicago,74558,CU-33645,Customer 1434,Yes,In-Store,Credit Card,PR-473587,Electronics,Batteries,Batteries Item 404,4,40.83,163.32,0.0,19.8,Local Farm
OR-100631,2024-05-07,2024-05-08,ST-639,Supercenter,East,Phoenix,State Phoenix,12673,CU-87681,Customer 962,No,In-Store,Debit Card,PR-963945,Pharmacy,OTC Medicines,OTC Medicines Item 308,1,115.61,115.61,0.1,2.09,Supplier A
OR-100632,2024-04-15,2024-04-17,ST-246,Express,North,San Diego,State San,95550,CU-28095,Customer 675,No,Online,Credit Card,PR-888898,Personal Care,Skincare,Skincare Item 245,4,87.13,348.52,0.05,40.05,Distributor X
OR-100633,2024-04-29,2024-05-03,ST-113,Neighborhood,North,Chicago,State Chicago,48046,CU-87722,Customer 635,No,Online,Cash,PR-641285,Groceries,Dairy,Dairy Item 313,8,103.2,825.6,0.05,48.14,Local Farm
